build,suite,cell,rep,ms
c,batch,round2,buffer-insert-1MB,2,10.9932,,
c,batch,round2,buffer-insert-1MB,3,12.2199,,
c,batch,round2,buffer-insert-1MB,4,9.7620,,
c,batch,round2,buffer-insert-1MB,5,10.2196,,
c,batch,round2,buffer-insert-1MB,6,10.6921,,
c,batch,round2,buffer-replace-200,0,0.5112,,
c,batch,round2,buffer-replace-200,1,0.3922,,
c,batch,round2,buffer-replace-200,2,0.4230,,
c,batch,round2,buffer-replace-200,3,0.3989,,
c,batch,round2,buffer-replace-200,4,0.4594,,
c,batch,round2,buffer-replace-200,5,0.4022,,
c,batch,round2,buffer-replace-200,6,0.4070,,
c,batch,round2,sort-10k,0,5.9083,,
c,batch,round2,sort-10k,1,5.4686,,
c,batch,round2,sort-10k,2,5.6741,,
c,batch,round2,sort-10k,3,5.8827,,
c,batch,round2,sort-10k,4,6.1224,,
c,batch,round2,sort-10k,5,5.6293,,
c,batch,round2,sort-10k,6,5.5728,,
c,batch,round2,string-concat-500,0,10.2162,,
c,batch,round2,string-concat-500,1,11.0703,,
c,batch,round2,string-concat-500,2,10.2851,,
c,batch,round2,string-concat-500,3,10.1449,,
c,batch,round2,string-concat-500,4,8.3115,,
c,batch,round2,string-concat-500,5,10.4036,,
c,batch,round2,string-concat-500,6,8.9517,,
c,batch,round2,completion-10k,0,15.5718,,
c,batch,round2,completion-10k,1,15.3370,,
c,batch,round2,completion-10k,2,15.0626,,
c,batch,round2,completion-10k,3,15.0030,,
c,batch,round2,completion-10k,4,17.2305,,
c,batch,round2,completion-10k,5,15.0023,,
c,batch,round2,completion-10k,6,15.7897,,
c,batch,round2,regexp-search-1MB,0,15.9140,,
c,batch,round2,regexp-search-1MB,1,14.0104,,
c,batch,round2,regexp-search-1MB,2,13.4656,,
c,batch,round2,regexp-search-1MB,3,17.2384,,
c,batch,round2,regexp-search-1MB,4,14.0653,,
c,batch,round2,regexp-search-1MB,5,15.0304,,
c,batch,round2,regexp-search-1MB,6,13.7355,,
c,batch,round2,gc-full,0,8.6706,,
c,batch,round2,gc-full,1,8.4732,,
c,batch,round2,gc-full,2,9.1374,,
c,batch,round2,gc-full,3,8.0664,,
c,batch,round2,gc-full,4,7.8325,,
c,batch,round2,gc-full,5,7.7825,,
c,batch,round2,gc-full,6,8.3153,,
a,batch,round3,buffer-insert-1MB,0,10.7849,,
a,batch,round3,buffer-insert-1MB,1,10.0524,,
a,batch,round3,buffer-insert-1MB,2,10.3419,,
a,batch,round3,buffer-insert-1MB,3,11.0898,,
a,batch,round3,buffer-insert-1MB,4,11.3120,,
a,batch,round3,buffer-insert-1MB,5,11.1287,,
a,batch,round3,buffer-insert-1MB,6,10.0210,,
a,batch,round3,buffer-replace-200,0,0.6087,,
a,batch,round3,buffer-replace-200,1,0.3793,,
a,batch,round3,buffer-replace-200,2,0.3717,,
a,batch,round3,buffer-replace-200,3,0.3681,,
a,batch,round3,buffer-replace-200,4,0.3757,,
a,batch,round3,buffer-replace-200,5,0.3901,,
a,batch,round3,buffer-replace-200,6,0.3827,,
a,batch,round3,sort-10k,0,5.0335,,
a,batch,round3,sort-10k,1,5.5425,,
a,batch,round3,sort-10k,2,6.6640,,
a,batch,round3,sort-10k,3,6.7239,,
a,batch,round3,sort-10k,4,5.8441,,
a,batch,round3,sort-10k,5,5.3067,,
a,batch,round3,sort-10k,6,5.0457,,
a,batch,round3,string-concat-500,0,8.2662,,
a,batch,round3,string-concat-500,1,12.3291,,
a,batch,round3,string-concat-500,2,9.7265,,
a,batch,round3,string-concat-500,3,8.6651,,
a,batch,round3,string-concat-500,4,8.6880,,
a,batch,round3,string-concat-500,5,8.4360,,
a,batch,round3,string-concat-500,6,8.2774,,
a,batch,round3,completion-10k,0,15.3916,,
a,batch,round3,completion-10k,1,14.1234,,
a,batch,round3,completion-10k,2,13.4745,,
a,batch,round3,completion-10k,3,17.7772,,
a,batch,round3,completion-10k,4,16.8231,,
a,batch,round3,completion-10k,5,13.9678,,
a,batch,round3,completion-10k,6,14.5802,,
a,batch,round3,regexp-search-1MB,0,14.6303,,
a,batch,round3,regexp-search-1MB,1,15.8501,,
a,batch,round3,regexp-search-1MB,2,12.8732,,
a,batch,round3,regexp-search-1MB,3,13.3042,,
a,batch,round3,regexp-search-1MB,4,14.3743,,
a,batch,round3,regexp-search-1MB,5,12.7356,,
a,batch,round3,regexp-search-1MB,6,14.0975,,
a,batch,round3,gc-full,0,7.9999,,
a,batch,round3,gc-full,1,7.7093,,
a,batch,round3,gc-full,2,7.7734,,
a,batch,round3,gc-full,3,7.1747,,
a,batch,round3,gc-full,4,7.6115,,
a,batch,round3,gc-full,5,8.0700,,
a,batch,round3,gc-full,6,7.9029,,
b,batch,round3,buffer-insert-1MB,0,9.9959,,
b,batch,round3,buffer-insert-1MB,1,12.7070,,
b,batch,round3,buffer-insert-1MB,2,10.4351,,
b,batch,round3,buffer-insert-1MB,3,11.1442,,
b,batch,round3,buffer-insert-1MB,4,11.5476,,
b,batch,round3,buffer-insert-1MB,5,10.3338,,
b,batch,round3,buffer-insert-1MB,6,15.7139,,
b,batch,round3,buffer-replace-200,0,0.5558,,
b,batch,round3,buffer-replace-200,1,0.4370,,
b,batch,round3,buffer-replace-200,2,0.4127,,
b,batch,round3,buffer-replace-200,3,0.6750,,
b,batch,round3,buffer-replace-200,4,0.4327,,
b,batch,round3,buffer-replace-200,5,0.4346,,
b,batch,round3,buffer-replace-200,6,0.4096,,
b,batch,round3,sort-10k,0,5.6841,,
b,batch,round3,sort-10k,1,5.1653,,
b,batch,round3,sort-10k,2,5.4600,,
b,batch,round3,sort-10k,3,5.5721,,
b,batch,round3,sort-10k,4,5.6775,,
b,batch,round3,sort-10k,5,5.5196,,
b,batch,round3,sort-10k,6,5.8882,,
b,batch,round3,string-concat-500,0,10.8256,,
b,batch,round3,string-concat-500,1,9.5468,,
b,batch,round3,string-concat-500,2,8.6422,,
b,batch,round3,string-concat-500,3,9.7749,,
b,batch,round3,string-concat-500,4,8.6825,,
b,batch,round3,string-concat-500,5,10.1409,,
b,batch,round3,string-concat-500,6,8.7905,,
b,batch,round3,completion-10k,0,14.4937,,
b,batch,round3,completion-10k,1,12.9488,,
b,batch,round3,completion-10k,2,13.8476,,
b,batch,round3,completion-10k,3,14.0162,,
b,batch,round3,completion-10k,4,14.8895,,
b,batch,round3,completion-10k,5,13.6883,,
b,batch,round3,completion-10k,6,14.6482,,
b,batch,round3,regexp-search-1MB,0,14.5633,,
