store,cs_label,workload,size,edits,retention,readers,ok,p50_ms,p90_ms,p99_ms,max_ms,copied_total,meta_total,live_delta,reader_mbs,label,final_hash,logical_bytes,physical_bytes,sharing_ratio,maint_copied,cold_ok
flat,-,W2,16384,2000,16,0,1,0.0011,0.0022,0.0112,0.0233,34769000,64000,294544,0.0,p215,ca5868c223001b73,312408,294024,1.06,0,-1
chunked,4096K,W2,16384,2000,16,0,1,0.0146,0.0252,0.0390,0.1297,2000,0,672696,0.0,p215,ca5868c223001b73,312408,793040,0.39,0,-1
chunked,65536K,W2,16384,2000,16,0,1,0.0151,0.0281,0.0416,0.0777,2000,0,671856,0.0,p215,ca5868c223001b73,312408,792200,0.39,0,-1
flat,-,W1,65536,2000,1,0,1,0.0369,0.0519,0.0784,0.2357,137252897,64000,71414,0.0,p215,43e699dcf691386b,142748,71374,2.00,0,-1
chunked,4096K,W1,65536,2000,1,0,1,0.0175,0.0484,0.0683,0.2527,25111,0,169289,0.0,p215,43e699dcf691386b,142748,281953,0.51,0,-1
chunked,65536K,W1,65536,2000,1,0,1,0.0175,0.0395,0.0629,0.2312,25111,0,168753,0.0,p215,43e699dcf691386b,142748,281353,0.51,0,-1
flat,-,W1,65536,2000,4,0,1,0.0363,0.0525,0.0809,0.3256,137252897,64000,285668,0.0,p215,43e699dcf691386b,356906,285532,1.25,0,-1
chunked,4096K,W1,65536,2000,4,0,1,0.0187,0.0359,0.0575,0.1786,25111,0,311785,0.0,p215,43e699dcf691386b,356906,424129,0.84,0,-1
chunked,65536K,W1,65536,2000,4,0,1,0.0208,0.0525,0.2557,3.6772,25111,0,310721,0.0,p215,43e699dcf691386b,356906,423001,0.84,0,-1
flat,-,W1,65536,2000,16,0,1,0.0049,0.0072,0.0347,0.9473,137252897,64000,1142114,0.0,p215,43e699dcf691386b,1212968,1141594,1.06,0,-1
chunked,4096K,W1,65536,2000,16,0,1,0.0189,0.0371,0.1032,1.3771,25111,0,879985,0.0,p215,43e699dcf691386b,1212968,991033,1.22,0,-1
chunked,65536K,W1,65536,2000,16,0,1,0.0188,0.0306,0.1424,3.2199,25111,0,876809,0.0,p215,43e699dcf691386b,1212968,987793,1.23,0,-1
flat,-,W2,65536,2000,1,0,1,0.0369,0.0547,0.2192,1.5887,133073000,64000,67576,0.0,p215,e526fddb5f5d04a8,135072,67536,2.00,0,-1
chunked,4096K,W2,65536,2000,1,0,1,0.0140,0.0302,0.0561,0.3241,2000,0,154504,0.0,p215,e526fddb5f5d04a8,135072,276176,0.49,0,-1
chunked,65536K,W2,65536,2000,1,0,1,0.0190,0.0312,0.0543,0.5185,2000,0,153904,0.0,p215,e526fddb5f5d04a8,135072,275576,0.49,0,-1
flat,-,W2,65536,2000,4,0,1,0.0431,0.0571,0.0917,0.5850,133073000,64000,270274,0.0,p215,e526fddb5f5d04a8,337674,270138,1.25,0,-1
chunked,4096K,W2,65536,2000,4,0,1,0.0166,0.0294,0.0434,0.1539,2000,0,269992,0.0,p215,e526fddb5f5d04a8,337674,391328,0.86,0,-1
chunked,65536K,W2,65536,2000,4,0,1,0.0141,0.0322,0.0460,0.1084,2000,0,268672,0.0,p215,e526fddb5f5d04a8,337674,390008,0.87,0,-1
flat,-,W2,65536,2000,16,0,1,0.0044,0.0085,0.0403,0.1429,133073000,64000,1080976,0.0,p215,e526fddb5f5d04a8,1147992,1080456,1.06,0,-1
chunked,4096K,W2,65536,2000,16,0,1,0.0156,0.0274,0.0441,0.1531,2000,0,730328,0.0,p215,e526fddb5f5d04a8,1147992,850352,1.35,0,-1
chunked,65536K,W2,65536,2000,16,0,1,0.0140,0.0303,0.0438,0.1425,2000,0,726128,0.0,p215,e526fddb5f5d04a8,1147992,846152,1.36,0,-1
